Empresa,Salario,Classe,Sede,Tamanho,Fundação,Tipo,Setor,Moeda,Valor_moeda
Marketdata,4000,Junior,"Campinas, Brasil",2500,2002.0,Empresa: privada,Hardware e software,R$R$,1
Big Data,5500,Junior,"São Paulo, Brasil",125,2006.0,Empresa: privada,Editoração,R$R$,1
Etho Soluções,3000,Junior,"São Paulo, Brasil",125,2013.0,Empresa: privada,Serviços de TI,R$R$,1
Saint-Gobain,4000,Junior,"São Paulo, Brasil",2500,1987.0,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Hospital Israelita Albert Einstein,6000,Junior,"Curitiba, Brasil",125,,Prestação de serviço,Desconhecido/Não se aplica,R$R$,1
Fundação ASTEF,3500,Junior,"New York, NY",10000,1858.0,Empresa: capital aberto (M),Lojas de departamentos e de roupas e calçados,R$R$,1
Energisa,10500,Junior,"São Paulo, Brasil",125,2015.0,Empresa: privada,Soluções de software e redes corporativas,R$R$,1
Princesa do Norte,2000,Junior,"São Paulo, Brasil",125,2007.0,Empresa: privada,Soluções de software e redes corporativas,R$R$,1
Jeitto Meios de Pagamento,5000,Junior,"Fortaleza, Brasil",25,2016.0,Empresa: privada,Soluções de software e redes corporativas,R$R$,1
Universidade Federal do Rio de Janeiro (UFRJ),1000,Junior,"Curitiba, Brasil",125,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
PoaTek,3000,Junior,"São Paulo, Brasil",350,,Subsidiária ou segmento de negócio,Desconhecido/Não se aplica,R$R$,1
IndustriALL,3000,Junior,"Rio de Janeiro, Brasil",125,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
OMNICOG,983,Junior,"Courbevoie, França",10000,1665.0,Empresa: capital aberto,Fabricação industrial,R$R$,1
Qintess,5000,Junior,"São Paulo, Brasil",2500,1987.0,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Ame Digital,7500,Junior,"São Paulo, Brasil",125,2015.0,Empresa: privada,Soluções de software e redes corporativas,R$R$,1
Offerwise,3000,Junior,"Fortaleza, Brasil",25,2016.0,Empresa: privada,Soluções de software e redes corporativas,R$R$,1
EY,4000,Junior,"São Paulo, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Dom Rock,3000,Junior,"Cataguases, Brasil",10000,1905.0,Empresa: privada,Energia,R$R$,1
James Delivery,3000,Junior,"Vitória, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Finch Soluções,4000,Junior,"São Paulo, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Unicred,1000,Junior,"Sarasota, FL",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Globoplay,4000,Junior,"São Paulo, Brasil",750,2018.0,Empresa: privada,Processamento de transações financeiras,R$R$,1
Universidade Estadual do Oeste do Paraná (UNIOESTE),5000,Junior,"Belo Horizonte, Brasil",125,2004.0,Empresa: privada,Publicidade e marketing,R$R$,1
Beluz Comércio de Materiais de Construção,1500,Junior,"Londres, Reino Unido",10000,1989.0,Empresa: privada,Contabilidade,R$R$,1
Lett,4000,Junior,"Barueri, Brasil",25,2013.0,Empresa: privada,De US$ 1 a US$ 5 milhões,R$R$,1
