Empresa,Salario,Classe,Sede,Tamanho,Fundação,Tipo,Setor,Moeda,Valor_moeda
RedFox Digital Solutions,3458,Junior,"São Paulo, Brasil",2500,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Argo Solutions,6250,Junior,"Rio de Janeiro, Brasil",2500,2010.0,Empresa: capital aberto,Outras lojas varejistas,R$R$,1
PagSeguro,3000,Junior,"Estugarda, Alemanha",2500,1987.0,Empresa: privada,Serviços de TI,R$R$,1
IBM,4416,Junior,"Belo Horizonte, Brasil",10000,1973.0,Empresa: capital aberto (RENT),Locação de carros,R$R$,1
Ademicon,4166,Junior,"São Paulo, Brasil",7500,1967.0,Empresa: capital aberto (CTNM3),Fabricação industrial,R$R$,1
PicPay,9000,Junior,"São Paulo, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Stefanini,8166,Pleno,"Florianópolis, Brasil",2500,1990.0,Empresa: privada,Hardware e software,R$R$,1
PicPay,10000,Pleno,"São José do Rio Prêto, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Banco do Brasil,10166,Pleno,"Recife, Brasil",25,2007.0,Empresa: privada,Serviços de TI,R$R$,1
XP Inc.,9541,Senior,"Fortaleza, Brasil",350,2001.0,Organização sem fins lucrativos,Serviços de TI,R$R$,1
Softplan,8958,Senior,"Barueri, Brasil",350,2014.0,Empresa: privada,Processamento de transações financeiras,R$R$,1
Netflix,51333,Senior,"Florianópolis, Brasil",350,2009.0,Empresa: privada,Hardware e software,R$R$,1
Technip,10041,Senior,"Vitória, Brasil",2500,2012.0,Empresa: privada,Processamento de transações financeiras,R$R$,1
Helly Hansen ,1120,Junior,"Porto Alegre, Brasil",125,2015.0,Empresa: privada,Serviços de TI,R$R$,1
